,image,label,features_pca
0,data02/fruits_360/Training/data02/fruits-360/apple_6/r0_0.jpg,apple_6,"[44.506366464005545,5.3992937025033445,3.9006719842843323,-10.442110552642673,1.0610424289821314,-4.466740569678192,-3.3900011724862558,-8.900922471234189,8.562418512803813,8.264241508084332,-1.8039527728888096,-3.2890388895268132,-5.075166045288087,-2.335545546683095,1.2892934870892376,0.6094917160625561,-3.206498800530724,-4.920566578420296,4.776522229950639,-2.947639224195462,-0.36965999592593735,2.5217453959850276,-3.301486104419985,3.9371908759012784,-1.7101048620678385,-3.598944361913531,-0.5550525619640888,3.7054722292581426,-6.065920943347049,2.121402179308086,-2.968564398411562,1.0196768341663682,0.2483485516795586,0.25304859723129985,-0.6203800711469842,0.014183126946886067,-2.1352218640069993,1.1853846313883971,-0.8817739652692176,2.1117447953750896,-0.554256688993138,-1.0832101008772497,1.1093509438543665,1.628520206542558,0.29327380151221866,3.8793075483266666,-3.2792744158470373,-2.694040980292487,-2.395455921560766,2.274827017339745,0.9196002386942468,-0.7078859061695743,-2.6476315514474225,1.005552804008961,3.1155373305540697,-2.6568071397005224,2.822173403842273,-3.776761042581875,-0.7563577957140807,0.954352583097656,-0.8450363874758134,0.2781430852089564,1.1476544968758224,3.184190481607226,-2.634925200346893,-1.8417426556778667,-0.32269185869780426,-1.418317772567927,0.4942858090977636,-2.4199179507601203,-1.8703914433392195,-0.42578062499486413,0.664885305810046,0.1585856471243647,-1.8202357677084786,1.4649644387281275,0.5418823374037378,-0.5368330881628236,-0.17850953483242415,-0.6894815173582173,-1.7833453241742614,1.6358083344636583,0.8070613952291863,1.6651905367933273,0.926806059312555,-1.4008955956669762,0.046715502611168636,-0.46990288256558,-1.6770064239093219,0.5566987554316242,1.4268254343781461,-1.9512914670973158,2.1767321518210463,-0.31876351435951666,-2.0069254893692383,-1.6902425488822002,1.160963338112726,1.0560848046449074,-0.7432462342610934,0.84801175741379]"
1,data02/fruits_360/Training/data02/fruits-360/apple_6/r0_10.jpg,apple_6,"[44.46366214007592,4.593875403761466,3.2780251935640132,-10.751180904698323,2.108845836954599,-3.2261062934018145,-4.670702702879997,-8.7244879958092,8.448766748473606,8.097419238499562,-2.384347488374257,-2.331723328784517,-5.586703063626796,-3.6059126379402486,1.886085288497508,0.1511022681302598,-3.589067020615064,-5.971443903045346,5.061895075931543,-2.951183670975015,1.0847684007097798,2.063097315999825,-3.325019864164171,1.769893630400764,-2.3997393356743317,-2.9983363091499498,0.5629082955608299,2.3264021312529373,-6.129345190853528,1.163910405738965,-2.765624762785702,2.4783866929613594,0.11310714825780917,-1.9518318843255855,-0.41222643423654914,-0.3075315350344597,0.2027641089742432,1.002368911682367,0.1412080504548991,1.747234113500104,-0.7961425286365496,0.6020368159806736,0.4476778452708432,1.5499718352188745,0.305729168416846,4.708726086872277,-3.094545802605215,-2.0806071785980635,-1.971327951347342,2.828851909719335,0.18297414824624036,-1.1872627039473613,-2.5433182922097815,0.4862357529262486,2.778284442382703,-3.0281869569739803,3.244554246218875,-1.1809436396382917,-0.17443925015324452,1.3661636743076813,-3.067772289889958,0.7039726727673509,1.1599356819367304,1.738544709917213,-1.6265563096995448,-1.2284755128840368,-0.4648427532004844,-0.6391768479587326,-0.06752414203768718,-2.738028738269416,0.2666232443675121,-1.8774923357731648,-0.3735435687371161,-0.2409931197131559,-1.2352501803796192,0.6146983595944139,0.2944926530206847,-0.7169850268182005,-1.3115256819988963,0.3924545703751664,-1.7306940159517572,1.3257029940195255,0.03133471863454643,0.30621226303090426,1.8075999882795817,-1.8133843008345487,0.0388168665555257,-0.14820344880651734,-0.09757578043427195,-0.31330387458480713,2.0439777535978276,-0.9221774417106959,1.672406466355322,0.7197636779811375,-2.4245087850858913,0.5828999072292732,1.0096498677097965,-0.27265730154971884,-1.100021589339499,0.7900053464090863]"
2,data02/fruits_360/Training/data02/fruits-360/apple_6/r0_100.jpg,apple_6,"[35.60265179522953,2.9736903848861314,8.637725384354125,2.248409659087434,6.693941189191208,-13.661068423051722,0.10531355619414437,-4.18902259381431,-0.7060423808112827,6.934827097962829,-1.039431109216979,2.2421782174749993,-2.5597327891680473,0.6769184873974464,6.741509917849436,-2.8326318992764192,1.247045301335903,-2.476118041128614,-6.3509970310772745,-4.627549727892408,0.3870326621236546,-5.052250868888597,-1.6933456707027212,-2.3849507706908857,-0.782794657763296,2.7599172316300242,7.269030115086714,-3.8658457148527137,2.721722369832182,1.329549005918542,0.34205146351114885,-2.1549522439782947,0.9737565628414586,0.7913792258442915,1.8180446110619586,-2.3895359111576155,-0.6851909097729187,0.2764313299001275,-1.9512293296078893,-4.0209482142388016,-1.9955067778785172,-0.029476906791508307,-0.1321139419508418,0.4259625560930907,0.6496718220220135,-2.445673653778086,2.2969009402023195,-0.660127204616096,1.0057538765074248,1.1225047205539458,0.8063672780589776,3.1889356519700813,-0.19437128739615592,-1.9655843567514362,-2.1059172310190593,2.2418767352980162,-1.0399840303218446,-0.8816311362812989,1.2044337677750245,0.3701709341413795,-3.7235026979017656,-1.8352249087403678,6.420481785288034,2.5103513378890607,-0.5988591391177372,-1.3373927615182097,0.2265441673103476,0.26066711416150107,2.066876009688558,-1.762429915844251,1.5820594813362263,-2.904482379703211,0.2077443274082305,-1.808309970167684,-0.41383216008558227,1.653480015177416,-4.285674999812021,-1.3032136031612331,-2.456019979981506,1.8107028064910777,1.8526632024398393,0.6006609419138014,1.7623675029246866,0.04377740486761559,2.954881202962941,-1.9397860392849577,-0.7005400742646503,-0.607498089079538,-0.8761168663782718,-5.924279012820603,0.10245258812446782,0.41149725604104315,-0.8871184986841576,0.67571931892159,-2.0743764596548147,3.3975179224360446,3.2360290662042837,0.5699141840183773,-2.6188399692151436,-0.35595442391119986]"
3,data02/fruits_360/Training/data02/fruits-360/apple_6/r0_102.jpg,apple_6,"[37.4988714045429,3.2206993667093355,8.457980799647395,2.642289343360559,6.6461419324090905,-15.195359699648574,-0.7933398248543106,-6.058773736437555,1.1731258087200072,8.026821946869637,0.39999117986981525,2.164400717128166,-2.2557517651788603,1.851340492362894,5.760473306089222,-3.202205823348593,3.0367705495726542,-0.6007381602990002,-5.25508713399806,-4.590240871497696,0.8361391210771201,-5.204176434426422,-1.292770273958791,-1.3714146440286967,0.7084206853368147,3.0647093625664916,6.732936361517581,-3.650160320552618,1.763861668371018,2.0779973962675458,0.9990063345166048,-3.485484420165441,-0.16988128676215375,3.3355417859780854,1.1595243582817567,-4.0620766200902585,-2.9167917154862644,1.7525637822041817,-2.4414866672837032,-3.658742248834978,-2.3266164652870436,-0.32327143663701485,-0.006610173873647707,1.1582499119095384,-0.41757476725384135,-0.8600129427557004,0.47662799278161283,-0.3182978179095964,-0.16441041875884124,0.7254061495992843,0.6031030133398512,3.4069897475779447,1.1091123353179326,-1.8797777860381895,-1.6426113364084896,1.1378497099757565,-1.3867167406533185,-1.2629536970558353,1.2512335323137853,-0.9335557805186777,-1.6326754710902978,-1.9251337991090443,5.247833008828651,1.616069917760102,-0.2574445113553737,-1.6050149745086693,0.0028073278208381363,-1.082002018168157,2.1905669035978947,-1.256999031089039,0.48284345807822404,-2.7275474905980595,-0.5067702636289027,-1.103771634971867,1.07209600274208,1.7650514370303534,-4.061415115969279,0.6012332007451726,-1.750442368348229,1.2342930946149986,1.2812725641333074,0.47808850748201903,1.1610176655092597,1.367795365808424,1.329780040537437,-1.940455037227103,-0.2855600515692049,1.6809833171358113,0.35550694452205833,-3.2601939108737104,-0.08826473187348109,0.49150343051640133,-0.36934944512311113,0.2262354857700371,-1.9427856429546777,1.2271248063182694,2.2245978319397195,1.1723841022849673,-1.5501614701856588,0.5897465417717864]"
4,data02/fruits_360/Training/data02/fruits-360/apple_6/r0_104.jpg,apple_6,"[36.83676129077945,2.762881817544719,7.394732609919779,4.274970917018567,7.280933504789246,-16.643970489515812,-0.31132443632973367,-6.533484703560731,1.6405574907861706,7.99110326631851,1.230631947420585,2.2003043586540314,-3.0361911192817197,2.245740737819127,5.058740445565982,-4.316917618527467,4.9903384644904,0.22425355607368538,-5.805297648826242,-5.241696552705431,0.7922749075642731,-6.388521130897572,-0.9976301463401183,-1.6790959568868828,0.4979049160604587,3.4782647477351234,6.3024844158422,-3.8811011605028347,1.2947587382647956,2.0626719346462736,1.9707688919074358,-2.913064414454791,-0.09334700069624541,3.550797006283848,1.1572326818262844,-5.023668749906084,-4.791463348721683,2.7323302407613363,-1.5920589550532036,-3.4091071545200746,-2.1912952329445305,0.10480648703643011,-0.3858431530272492,1.416454806601927,-1.4370288711063959,-0.7037996982247603,-0.5197212954680169,0.2904552292137212,0.03509857595005819,0.9306220721096418,0.019791044060036605,2.7102873232162525,0.5282559166974305,-1.0804828094495247,-1.3590860890503713,1.151354127354996,-1.4261767045526916,-0.632483566678756,0.31684297133462896,-1.5330084369178125,-1.1537483354966407,-0.9200857662368334,4.892208666226126,1.2369563391833744,-0.09497265504412986,-2.0464953160316965,0.7393965720840168,-0.8898146626461713,1.7355918604329863,-1.1642075197889925,0.9272629085252052,-3.1197157026839606,-0.20668139417694023,-1.3312998911190967,0.7449391871066878,2.000621034502099,-4.103850100621357,1.218765164175672,-2.1326534925056437,1.0366191033896184,1.462316836098749,-0.25159984450313905,1.041917951271051,1.9371985785461663,0.7970317838068068,-1.9687244978166567,0.5746164834462137,1.648913075626152,1.7244021297245558,-2.3231999576013607,0.21801698923908625,1.3858978648497777,-0.6499986666065212,0.29825940730246425,-2.536760412119719,0.5624136882454621,0.8680600808574628,0.8906113128914316,-0.49570765952104034,0.9121733022707004]"
5,data02/fruits_360/Training/data02/fruits-360/apple_6/r0_106.jpg,apple_6,"[35.99059220723619,3.1551510611825893,5.72785562790802,6.193557798349629,6.898004982928292,-18.17458731286018,0.3890075455421058,-7.3189485514754,3.658619157381679,8.739238290820257,2.4005472406542565,1.8722009238414792,-2.50191416391934,3.050116245229102,3.379245447346052,-5.949808631246601,6.823657280745333,2.1237057226421507,-6.131038894174445,-4.264311440380824,0.2712826081256108,-6.14729980561853,0.27486655550627076,-1.753239712524064,1.4711018170173658,2.428278469693578,3.8513349642918566,-2.3762190680558644,0.4394128562794864,3.009647086232212,1.6630438562865828,-2.8949985638314177,-0.3291264528681437,4.855805718428002,0.1312027652164044,-5.2808672486824,-6.072159532907248,4.88481072245235,-1.6250666332519372,-1.7558630452825383,-1.5741050916422856,-0.3888687908389856,-0.2773846978155664,1.0987984387463778,-2.396814168075434,-0.23707140631593868,-0.6999756215043452,1.6891549747082535,0.2185063665628852,1.2890156908249093,-1.4167856447408376,1.5966940448956095,1.8382918188489148,-0.46122844132933805,0.09582506623177155,-0.5275390467566091,-2.0136991442663,-0.07125595779928248,0.8234333203255569,-3.4169500825379777,-0.49058408743018816,-0.0055441185201748275,3.3308422256976735,1.4875374467862479,0.17590463694014977,-0.8315554040312534,0.23525082617642673,-1.067744374440429,0.859036249055649,-0.7293668725371709,1.5524734702191705,-1.882116113040255,0.3110099409684673,-1.1089304591321172,0.7153292822902958,2.341017125033396,-4.023806419514101,0.710270494788811,-1.1624704400932657,0.4576551704757363,0.5801969657779027,0.7399752531409837,0.8970086674743254,1.6480037545024773,1.064037682588618,-0.9247966969214447,0.5507875045535405,2.8644894069981235,1.6990195291630064,0.6334701780497609,1.4263727004524775,1.0020691758458224,0.34973018546758233,-1.3399986690719765,-2.1987055880486346,-1.521934763257561,-0.5085565589371136,2.4523756956447147,0.6187114149597659,1.0663933921516615]"
6,data02/fruits_360/Training/data02/fruits-360/apple_6/r0_108.jpg,apple_6,"[32.16031163686329,3.001119274411886,7.032742476377861,6.322193497062721,7.2194290490669495,-17.38348306471409,0.7424103717032613,-5.124318802300396,0.41816786090162955,8.167907230608824,1.7854739707192453,2.243259012188006,-2.969213971821035,2.191910308101522,5.089471635632233,-5.608102727358143,4.702111949128086,0.1957890525489828,-6.296700971332693,-5.334199504993766,-0.2048625907342337,-6.740465256893295,-1.4982378062128443,-3.336269941133529,-0.032998734607250196,2.64601539288162,4.972835678811512,-3.1543873912754132,0.328441656192593,2.4073157401931344,1.6460249876472683,-2.1455658789143475,0.6088333419422617,3.6016485071408364,2.8665210429794783,-5.401316673564748,-2.7640225269465915,3.160922820930469,-2.812663084537926,-3.46976579705007,-2.8296387105495384,-0.019838389037820398,-0.1764765637267462,0.12397216980614996,-0.8914574353609378,-1.448043752788559,-0.6694300324424204,0.932676695666203,0.35862437551108955,1.8691230657792233,-0.7280840910319538,2.0545445204594794,0.9177420295752047,0.12226277578168633,-1.2336084237206393,0.576152993721931,-1.0590739571697216,-0.5605951710668376,-0.39892990965702824,-2.4585661880918592,-0.1716299189159,0.13391814073926386,4.336365160143156,1.12314185950997,-0.615288137863123,-0.46638664295707444,0.18782884676599007,-0.8815565366732344,0.465440985575454,-0.871494015747397,1.4776293926742632,-2.781537817733981,0.1823682864158148,-0.646954829430655,0.760946421380573,1.2758872460422293,-2.9209881026287303,0.3671372950250354,-1.5305141746148656,-0.7262563245967057,0.7369401892748919,-0.15344942402269351,0.4022402935523103,1.6125154283940435,0.011313706421235352,-0.5015380966938083,1.0727119900445077,0.8509053216321226,1.4567695464499022,-2.8226791938120965,0.2504016690091462,1.063945453674459,-0.7972234245629134,0.27720121764802347,-1.5336358052278078,0.2780088141443054,1.3618492481334967,0.5310764232612064,-1.2755748244769871,0.7196978873359176]"
7,data02/fruits_360/Training/data02/fruits-360/apple_6/r0_110.jpg,apple_6,"[34.07346914563322,2.969461933064993,5.936788235279278,7.4221706914862695,6.505773435114253,-18.547330722871507,0.47363582331810294,-7.005487207351616,3.009783619944738,9.278589721938491,2.4317370542279764,0.12049366170606043,-3.3504284947849903,3.170580923154317,1.9757366690636349,-6.157033579032551,7.096496539740538,2.9979530881076886,-4.768138101688584,-3.922897380851985,0.3905514567768905,-5.651167258608482,-0.5135342832971989,-2.56204858640059,1.1501801634785538,1.781594130703368,2.96913689100857,-1.7087211846107058,-0.7555506210921977,3.1474530066017996,3.3171641208010034,-1.9562606213718399,-0.9015652891523185,4.457106883749644,0.840210557202297,-5.7734233671217225,-5.051107464496419,4.976228741364801,-1.930078449172093,-1.780007357546255,-0.81056534162044,-0.31427134248520877,-1.7010308594567787,0.6468484012273951,-1.456674379473807,-0.3515174279397735,-1.1357235902944476,0.8476893499913426,-0.38452334191995763,2.0404305934263425,-2.0160883479090153,0.7573520701331212,2.330126014910155,1.3933830119078763,0.7940327384269771,0.24351229522353982,-1.7786522944302319,-0.22511266307001937,0.6049843651042479,-2.597267960478773,0.7441301998978859,0.5035930722806004,2.215917402472773,1.8009584565524694,-0.3415793458182276,-0.5029867859896697,0.40045194044217125,-0.41530445971185986,1.0122043217269638,-0.4448594378741085,1.1427642842019923,-1.2152179628212774,0.39251145538667087,0.7492739448798029,0.1894413107957274,2.1411213697781117,-3.0663454877242313,0.6500092334546881,-0.9399074648178498,-0.20873971992076515,0.6172366167967192,-0.506410566768633,0.6981943582504442,1.33591663536069,0.0879359685434565,-0.2525361149808704,1.5251622822782784,1.6212908211261985,2.2663867330998495,0.9814512907256259,1.7420141802253386,1.1053643324826674,0.16039356344898298,-1.2515845447858658,-2.194549581121395,-1.2424424818544468,-0.033695803593373125,1.1011392136606208,1.0888407279671712,0.20319116166464835]"
8,data02/fruits_360/Training/data02/fruits-360/apple_6/r0_112.jpg,apple_6,"[33.832305302178106,1.6868832007953019,5.93313721384429,6.81150091470711,7.1555260434280505,-18.133289445164227,0.11421629169769487,-6.7084699237102985,1.7214672000575757,9.21150183302229,2.5356593686280755,1.2038345721867971,-3.7162871388395544,2.846567251749471,2.679794780794678,-6.3865065032894135,6.142567605177026,2.1688661524326247,-5.719619272413339,-4.811573410386949,0.3911799378907439,-6.455396632479498,-0.8539059881889353,-2.5721739660270426,1.8667710398024773,2.1931681688512286,3.072497541395747,-2.0420310549729375,-0.7999213865056348,2.784256482083549,3.2951523408885555,-1.6247674196072799,-0.12679263986907965,3.5078190453191453,1.7227072494987368,-5.659250692315386,-5.216778312914976,4.060629783509507,-1.5664008948934587,-2.1283143065429875,-2.4838219489459306,0.7245332085298734,-1.3891424056367676,0.07401599522556877,-1.3656705649742866,0.3276995122919998,-1.7061911229749753,-0.7153196371407472,0.1671283860717841,1.7222090546069064,-1.3637576326311682,1.2409688623955826,2.1677468382528318,0.1370109411183883,0.047036586460669993,0.8341622684256734,-1.0007779387130833,-0.6917461266694495,0.6920364041037395,-3.23383609083353,1.0834288254431645,0.9827123189407262,2.2416389045314453,0.9155535126901239,-1.0997613808660167,0.43904504693975277,0.4987927155916831,-0.32188877804809035,0.6108269982103489,-0.44003524028712987,0.8431643941139061,-1.1920395709292435,0.45457025571154697,1.0409073008231782,1.2597485600559062,0.1373508134485646,-2.1119854522966013,1.0874842498455008,0.11667690817089738,-1.2791759317937312,0.9694194146449904,-0.11240429334504516,0.4486616657103981,0.4895680940353445,-0.48094830792956006,0.5923149302902266,1.4411111022490062,1.4497885976678386,1.5715832082126768,1.4618032276871975,0.7721794401573471,0.3637046088951753,0.11889996995507751,-0.9219274236746806,-0.7683117691506759,0.1577476111762397,-0.32958039686443047,0.39933739291281206,1.020906872130984,0.6668596790036582]"
9,data02/fruits_360/Training/data02/fruits-360/apple_6/r0_114.jpg,apple_6,"[32.843347840153946,2.3657376751503896,5.012597392836068,7.00532992009175,6.964819283432101,-18.32763979131391,0.8449605541723303,-6.495531597579768,2.071270535200957,9.604052696761883,2.7599466779968926,0.6994379630233776,-3.5291400699241873,3.3769778904730545,1.8421614304840732,-6.603081534928031,7.295506608808888,3.107675248571835,-5.1956870186198385,-4.409570862503168,-0.15150718103890828,-6.107244150168783,-1.1904295140852894,-3.3562553006362608,1.253810968827857,2.1838665432134303,2.155947482876587,-1.6200410556446394,-0.8728173703631008,2.7827191589307083,3.6257055254061306,-0.8875704408920974,-0.8121570101074548,4.07755641319706,1.5030239643246894,-6.5278622607891075,-5.600211264614875,4.478255858320596,-1.8880115923320115,-3.049380699850063,-1.8657251973880047,0.8744062858414329,-1.0597272348503903,0.690382181696339,-1.605357497183513,0.07375599452496326,-1.791127145229143,0.07288071234946863,-0.2555233745519903,2.2760386705619067,-2.6017698027328056,1.0859060835201444,2.2887814436944867,1.17865736783451,0.9695703965181862,0.43553184915460347,-1.617913473393169,-0.263238777003976,0.13297008801763913,-2.9341629617635663,1.7981750124297304,0.5234162853062067,1.711628334329323,0.5421674991329776,-0.45969446000012093,-0.7570404689057899,0.9715632831787948,0.10656599211204322,0.6230599012025866,-0.3833578986721948,0.4906756687036274,-1.8426233865179709,0.3635892243131468,0.29475075866339223,-0.05046261168019541,0.0006217610994476395,-2.0250116989445686,0.7316536879412198,0.5981585885666804,-1.6010493800015833,0.9001895233784104,-0.7816149528321324,-0.00045204353289061625,0.9402856389795494,-0.8497705003068025,0.14845890694256128,1.250194168703488,1.2369188570843024,1.9136226286735265,2.3005485143776054,2.0125585673425137,1.6664982814103197,-0.060822379062032826,-1.2745021609196705,-0.46591916437973163,-0.47950109287390674,-0.5361098135461805,0.3213127241781065,0.7951613240073061,-0.15855352304846299]"
